provenance,country
St-Lambrecht,Austria
Kremsmünster,Austria
Southern Germany / Austria,
Einsiedeln,Switzerland
St George's Convent in Prague,
"Prague, St. George Monastery",
Zwiefalten,Germany
Weingarten,Germany
Abbaye Saint-Corneille de Compiègne,France
Klosterneuburg,Austria
St. Pölten,Austria
St-Florian,Austria
Kirnberg,Germany
Rein,Germany
Spain,Spain
Tongeren,Belgium
Salzinnes,Belgium
Franciscan,United States
St. Gallen,Switzerland
Pilsen,Czechia
Esztergom,Hungary
Aachen,Germany
Quedlinburg,Germany
Lubiń,Poland
Köln,Germany
Würzburg,Germany
Mainz,Germany
Italy,Italy
Augsburg,Germany
Allemagne,France
Hilwartshausen,Germany
Barbastro,Spain
Convento de las clarisas de la Santísima Trinidad (Valencia),
Sant Cugat (Barcelona),Spain
Monasterio no identificado de la Orden de los Cartujos,
Cataluña o sur de Francia (?),
Catedral de Vic (Barcelona),Spain
Colegiata de Sant Feliu de Girona,
Auch,France
Huesca,Spain
Monasterio de San Salvador de Celanova (Ourense),
Tavèrnoles,Spain
Toledo,Spain
Albi,France
Arras,France
Cambrai,France
"France, Château du Mont-Renaud",
St. Martial,France
Marseille,France
St-Maur-des-Fossés,France
St-Martial,France
Paris,France
Abbaye royale de Saint-Denis,
Jacobins de la rue Saint-Jacques,
"France, Nevers, Cathédrale de Nevers",
Milan,Italy
Sens,France
Tours,France
Saint-Amand,France
Santo Domingo de Silos,Spain
Ascribed to Santo Domingo de Silos (see 'Description' above),
Worcester,United States
